cellnumber,    x-coordinate,    y-coordinate,    z-coordinate,     temperature
        49,-3.887696948E-05, 7.684231270E-03, 1.061928272E-01, 3.271956671E+02
        50,-1.166285656E-04, 7.682693191E-03, 1.065033600E-01, 3.269790135E+02
        51,-3.898217619E-05, 7.582229096E-03, 1.064264551E-01, 3.267855623E+02
        52,-1.159947278E-04, 7.886705920E-03, 1.061250493E-01, 3.273827719E+02
        53,-1.933234162E-04, 7.885175757E-03, 1.065803841E-01, 3.271799298E+02
        54,-3.877101335E-05, 7.786232978E-03, 1.061431617E-01, 3.273107572E+02
        55,-1.163110719E-04, 7.784699090E-03, 1.065709740E-01, 3.270928001E+02
        56,-3.887614366E-05, 7.684231270E-03, 1.065203398E-01, 3.269619369E+02
        57,-3.866491534E-05, 7.888235152E-03, 1.061133891E-01, 3.273670798E+02
        58,-1.159939857E-04, 7.886705920E-03, 1.066117063E-01, 3.271484847E+02
        59,-3.877033305E-05, 7.786232978E-03, 1.065873951E-01, 3.270766956E+02
        60,-3.866465340E-05, 7.888235152E-03, 1.066276059E-01, 3.271328592E+02
         1,-3.692685859E-04,-7.953717373E-03, 1.063943207E-01, 3.832917130E+02
         2,-3.692685859E-04,-7.953718305E-03, 1.062863842E-01, 3.838420157E+02
         3,-2.813811006E-04,-7.975077257E-03, 1.064391285E-01, 3.825269712E+02
         4,-2.813811006E-04,-7.975077257E-03, 1.062531695E-01, 3.830833461E+02
         5,-2.024827118E-04,-7.987369783E-03, 1.064628288E-01, 3.825341962E+02
         6,-2.024827263E-04,-7.987369783E-03, 1.062356010E-01, 3.830909906E+02
         7,-1.221178827E-04,-7.996496744E-03, 1.064786687E-01, 3.825346967E+02
         8,-1.221178827E-04,-7.996496744E-03, 1.062238514E-01, 3.830918026E+02
         9,-4.081350562E-05,-8.001935668E-03, 1.064866334E-01, 3.825288597E+02
        10,-4.081350562E-05,-8.001935668E-03, 1.062179506E-01, 3.830861670E+02
        11,-3.940143506E-05,-7.515796460E-03, 1.063173115E-01, 3.916552241E+02
        12,-1.181882253E-04,-7.521050982E-03, 1.063239276E-01, 3.916482270E+02
