"report-file-0"
"Iteration" "cs-temp etc.."
("Iteration" "cs-temp" "max-temp" "cs-htc" "p-in")
152 614.3771340538674 886.8392333984375 28960.52143091917 9893271.811405795
153 614.3871947890011 886.8505859375 28958.15572071277 9893272.358445713
154 614.3980493381924 886.8631591796875 28955.65549690968 9893273.025572009
155 614.4073169570114 886.8736572265625 28953.62065714379 9893273.558527147
156 614.4164359090989 886.8839721679688 28951.43016489601 9893274.318909163
157 614.4262882468928 886.8953247070313 28949.13858840759 9893275.244934686
158 614.4353832355633 886.9058837890625 28947.14238718266 9893275.878132833
159 614.4434915628109 886.9154052734375 28945.28983957864 9893277.875072809
160 614.4507504965079 886.9236450195313 28943.60941657856 9893278.550191887
161 614.4572543028321 886.9315185546875 28942.01276484926 9893282.163078323
162 614.4633651213487 886.9385375976563 28940.64931028261 9893282.338170007
163 614.469674390621 886.9459838867188 28939.18726559888 9893282.446864478
164 614.4749790102111 886.9521484375 28938.03744585141 9893282.560797088
165 614.4801476794717 886.9580688476563 28936.80584108277 9893282.812931389
166 614.4857341677847 886.9645385742188 28935.505343861 9893282.853324141
167 614.4905877715181 886.969970703125 28934.41765706124 9893282.911883641
168 614.4959146743618 886.97607421875 28933.12648987686 9893282.982645914
169 614.5010472375034 886.9818725585938 28931.95850251364 9893283.151124243
170 614.5060489427756 886.9874877929688 28930.78094054317 9893283.271953797
171 614.5109967173551 886.9930419921875 28929.61213838913 9893283.37639093
172 614.5154988867123 886.9979858398438 28928.5379923079 9893283.49742646
173 614.520536857345 887.0036010742188 28927.30139933349 9893283.756982515
174 614.5249226053205 887.0084228515625 28926.29088521109 9893284.222698605
175 614.529702810673 887.0137939453125 28925.12870788259 9893284.729336908
176 614.5338510740185 887.0183715820313 28924.18946449559 9893285.093999673
177 614.5379723293102 887.02294921875 28923.19062914935 9893285.4666695
178 614.5421201532127 887.0277709960938 28922.22450214941 9893286.483941181
179 614.5460593869763 887.0322875976563 28921.36795219566 9893286.650496254
180 614.5493935649437 887.0360717773438 28920.62869763874 9893286.837299822
181 614.5529508782502 887.0401611328125 28919.7999830166 9893287.016065558
182 614.5560781044483 887.0438232421875 28919.12942113373 9893287.904959224
